도루_D,도루_R,방어율,자책,완투,실점,득점,타수,안타수,2루,3루,홈런,볼넷,삼진,이닝당아웃수,안타허용,홈런허용,볼넷허용,탈삼진,탈병살,실책,OPS,WHIP,W
2,1,3.0,3,0,3,5,30,9,0,0,0,4,9,27,8,0,5,9,0,0,0.7,1.4444444444444444,1
1,2,4.5,4,0,5,3,34,8,3,0,0,5,6,24,9,0,4,6,1,1,0.6568627450980392,1.625,0
1,1,6.0,6,0,6,10,36,16,3,1,2,2,6,27,12,1,4,6,1,0,1.2371794871794872,1.7777777777777777,1
1,1,11.25,10,0,10,6,38,12,6,0,1,4,7,24,16,2,2,7,1,1,0.9335839598997494,2.25,0
0,1,5.0,5,0,5,4,32,8,2,0,0,3,9,27,7,1,6,9,0,1,0.6546052631578947,1.4444444444444444,0
1,0,4.0,4,0,4,5,33,7,2,0,1,6,4,27,8,0,3,4,0,0,0.7136363636363636,1.2222222222222223,1
0,3,4.0,4,0,5,6,34,11,2,0,0,7,5,27,12,0,4,5,1,1,0.821377331420373,1.7777777777777777,1
3,0,6.4799999999999995,6,0,6,5,38,12,1,1,0,4,7,25,11,0,7,7,0,0,0.7668298653610771,2.1599999999999997,0
1,0,1.0,1,0,1,4,28,6,1,0,1,3,9,27,7,0,1,9,0,0,0.6474654377880185,0.8888888888888888,1
0,1,2.25,2,0,4,1,34,7,0,0,0,1,10,24,6,1,3,10,2,1,0.43445378151260505,1.125,0
0,2,2.0,2,0,2,6,28,6,1,1,0,7,9,27,5,0,5,9,1,0,0.7573260073260073,1.1111111111111112,1
2,0,6.75,6,0,6,2,31,5,0,0,0,5,5,24,6,0,7,5,0,0,0.4585876198779425,1.625,0
1,0,1.0,1,0,1,2,30,5,0,0,0,3,12,27,4,0,2,12,0,1,0.43137254901960786,0.6666666666666666,1
0,1,2.25,2,0,2,1,30,4,2,0,0,2,7,24,5,0,3,7,0,2,0.4285714285714286,1.0,0
0,2,2.0,2,0,3,8,32,11,4,0,1,8,6,27,10,0,6,6,1,3,1.0148809523809523,1.7777777777777777,1
2,0,9.0,8,0,8,3,38,10,2,0,0,6,6,24,11,1,8,6,1,0,0.6935672514619883,2.375,0
2,1,3.0,3,0,5,9,35,13,4,0,0,4,11,27,7,1,7,11,1,2,0.9247386759581881,1.5555555555555556,1
1,2,9.0,8,0,9,5,32,7,0,0,1,7,1,24,13,0,4,1,1,1,0.6875,2.125,0
0,0,0.0,0,0,0,2,30,5,0,0,1,1,12,27,2,0,1,12,1,0,0.48541666666666666,0.3333333333333333,1
0,0,2.25,2,0,2,0,28,2,0,0,0,1,8,24,5,1,1,8,0,3,0.1748768472906404,0.75,0
0,1,0.0,0,0,1,11,27,14,3,0,3,2,2,15,1,0,4,2,1,1,1.5296296296296297,1.0,1
1,0,19.8,11,0,11,1,16,1,0,0,0,4,2,15,14,3,2,2,0,1,0.3482142857142857,3.2,0
2,0,7.0,7,0,11,6,36,7,2,0,3,2,3,27,14,0,5,3,1,2,0.7368421052631579,2.111111111111111,0
0,2,6.0,6,0,6,11,41,14,3,1,0,5,6,27,7,3,2,6,0,2,0.876458112407211,1.0,1
0,1,6.0,6,0,6,4,35,11,3,0,2,0,12,27,6,0,7,12,0,1,0.8857142857142857,1.4444444444444444,0
1,0,4.0,4,0,4,6,32,6,2,0,0,7,5,27,11,2,0,5,1,0,0.6,1.2222222222222223,1
2,1,8.0,8,0,8,4,34,9,5,0,0,2,9,27,11,2,4,9,0,0,0.7360890302066773,1.6666666666666667,0
1,2,4.0,4,0,4,8,38,11,1,0,2,4,6,27,9,0,2,6,1,0,0.8457772337821297,1.2222222222222223,1
0,0,8.0,8,0,8,2,36,10,1,0,0,2,4,27,15,0,2,4,0,0,0.6555555555555556,1.8888888888888888,0
0,0,2.0,2,0,2,8,41,15,2,1,0,2,9,27,10,0,2,9,1,0,0.8587634713556438,1.3333333333333333,1
2,0,8.0,8,0,8,3,31,5,1,0,1,1,5,27,12,3,3,5,0,0,0.47214076246334313,1.6666666666666667,0
0,2,3.0,3,0,3,8,36,12,1,0,3,3,8,27,5,1,1,8,0,0,0.9920634920634921,0.6666666666666666,1
3,0,3.0,3,0,3,1,30,4,1,0,0,4,4,27,9,1,4,4,0,1,0.4019607843137255,1.4444444444444444,0
0,3,1.0,1,0,1,3,35,9,2,0,1,4,9,27,4,0,4,9,0,1,0.7333333333333334,0.8888888888888888,1
1,0,7.0,7,0,7,3,39,12,2,0,2,0,4,27,7,2,4,4,1,1,0.8378205128205127,1.2222222222222223,0
0,1,3.0,3,0,3,7,33,7,1,1,2,4,10,27,12,2,0,10,0,0,0.7821457821457822,1.3333333333333333,1
0,3,4.0,4,0,4,5,30,9,2,0,1,7,9,27,5,1,6,9,1,0,0.8990990990990991,1.2222222222222223,1
3,0,5.625,5,0,5,4,31,5,2,0,1,6,6,24,9,1,7,6,2,1,0.6559139784946236,2.0,0
1,1,0.0,0,0,0,4,31,8,2,0,0,1,7,27,3,0,4,7,2,1,0.6038306451612903,0.7777777777777778,1
1,1,2.25,2,0,4,0,28,3,0,0,0,4,3,24,8,0,1,3,3,4,0.32589285714285715,1.125,0
0,0,1.8,2,0,2,3,36,8,0,0,0,4,4,30,4,1,2,4,1,1,0.5149051490514904,0.6,1
0,0,0.9310344827586208,1,0,3,2,33,4,0,0,1,2,4,29,8,0,4,4,0,3,0.4065656565656566,1.2413793103448276,0
0,1,3.0,3,0,7,3,34,10,2,0,1,2,8,27,10,3,5,8,1,2,0.7745098039215685,1.6666666666666667,0
1,0,3.0,3,0,3,7,35,10,1,0,3,5,9,27,10,1,2,9,2,0,0.9616724738675958,1.3333333333333333,1
2,2,4.0,4,0,4,6,29,8,2,0,1,8,12,27,9,1,4,12,1,0,0.8841732979664014,1.4444444444444444,1
2,2,6.75,6,0,6,4,32,9,2,0,1,4,7,24,8,1,8,7,0,2,0.7986111111111112,2.0,0
0,0,1.0,1,0,1,10,36,13,2,0,2,3,8,27,7,0,2,8,3,0,0.9979674796747968,1.0,1
0,0,11.25,10,0,10,1,29,7,0,0,0,2,4,24,13,2,3,4,0,0,0.5317018909899889,2.0,0
3,2,4.0,4,0,6,3,35,11,2,0,0,2,9,27,9,0,3,9,0,3,0.7227799227799228,1.3333333333333333,0
2,3,3.0,3,0,3,6,36,9,2,0,0,3,7,27,11,0,2,7,1,0,0.622628726287263,1.4444444444444444,1
0,0,3.0,3,0,3,4,27,5,0,0,3,5,5,27,8,1,6,5,3,1,0.8310185185185185,1.5555555555555556,1
0,0,4.5,4,0,4,3,32,8,2,0,1,6,7,24,5,3,5,7,1,0,0.774671052631579,1.25,0
1,1,3.0,3,0,4,7,37,15,1,0,1,4,9,27,11,1,6,9,1,1,0.976928147659855,1.8888888888888888,1
1,1,7.875,7,0,7,4,36,11,0,0,1,6,6,24,15,1,4,6,2,0,0.7936507936507937,2.375,0
2,0,6.75,9,0,9,9,46,13,1,0,2,3,9,36,16,0,6,9,1,0,0.7613132209405501,1.8333333333333333,0
0,2,6.75,9,0,9,9,49,16,1,1,0,6,11,36,13,2,3,11,2,1,0.798469387755102,1.3333333333333333,0
0,2,2.0,2,0,2,1,29,2,0,0,0,3,12,27,6,0,4,12,0,0,0.2507836990595611,1.1111111111111112,0
2,0,0.0,0,0,1,2,29,6,1,0,0,4,9,27,2,0,3,9,0,1,0.5649087221095335,0.5555555555555556,1
0,1,6.0,6,0,6,9,37,11,3,0,2,5,6,27,14,1,5,6,2,0,0.9496314496314497,2.111111111111111,1
1,0,6.75,6,0,9,6,38,14,3,2,1,5,10,24,11,2,5,10,1,3,1.0734394124847002,2.0,0
1,0,6.0,6,0,6,7,33,9,1,0,2,2,6,27,10,2,1,6,0,1,0.8361998361998362,1.2222222222222223,1
0,1,5.625,5,0,7,6,37,10,0,0,2,1,5,24,9,2,2,5,1,1,0.7219061166429588,1.375,0
1,2,1.0,1,0,1,5,33,11,3,0,1,4,9,27,6,0,8,9,1,0,0.9205569205569206,1.5555555555555556,1
2,1,4.5,4,0,5,1,31,6,1,0,0,8,6,24,11,1,4,6,1,1,0.5847808105872622,1.875,0
0,0,5.0,5,0,5,4,35,10,2,0,0,3,10,27,8,0,5,10,0,0,0.6849624060150377,1.4444444444444444,0
0,0,4.0,4,0,4,5,32,8,2,1,0,5,4,27,10,0,3,4,0,0,0.725,1.4444444444444444,1
0,3,7.0,7,0,7,6,33,7,0,0,2,4,9,27,10,4,6,9,0,0,0.718939393939394,1.7777777777777777,0
3,0,4.0,4,0,6,7,37,10,1,0,4,6,11,27,7,2,4,11,0,2,1.007985257985258,1.2222222222222223,1
1,0,2.0,2,0,2,5,33,11,3,0,1,2,6,27,7,2,1,6,0,0,0.8865800865800866,0.8888888888888888,1
0,1,4.5,4,0,5,2,33,7,0,0,2,1,5,24,11,1,2,5,0,1,0.651082251082251,1.625,0
0,1,9.9,11,0,11,12,41,17,3,1,0,11,10,30,16,1,2,10,0,1,1.0551038843721772,1.8,1
1,0,11.172413793103448,12,0,12,11,44,16,3,1,1,2,10,29,17,0,11,10,1,0,0.9367588932806323,2.896551724137931,0
0,0,4.0,4,0,5,16,42,18,4,1,2,2,4,27,10,3,1,4,0,1,1.1823708206686931,1.2222222222222223,1
0,0,14.625,13,0,16,5,37,10,1,0,3,1,8,24,18,2,2,8,1,2,0.8225918225918226,2.5,0
0,0,8.0,8,0,8,2,34,9,2,0,0,2,7,27,9,2,9,7,1,0,0.6478537360890302,2.0,0
0,0,1.0,1,0,2,8,33,9,4,0,2,9,7,27,9,0,2,7,3,2,1.0075757575757576,1.2222222222222223,1
0,2,0.0,0,0,0,2,29,7,0,0,1,4,10,27,6,0,2,10,2,1,0.6781609195402298,0.8888888888888888,1
2,0,2.25,2,0,2,0,30,6,1,0,0,2,8,24,7,1,4,8,1,0,0.5060606060606061,1.375,0
2,4,5.7272727272727275,7,0,7,6,45,13,2,1,1,4,11,33,13,1,5,11,0,0,0.8044444444444444,1.6363636363636365,0
4,2,4.909090909090909,6,0,6,7,42,13,2,0,1,5,10,33,13,1,4,10,0,2,0.8115501519756838,1.5454545454545454,1
0,1,3.0,3,0,3,5,32,9,2,0,1,6,8,27,8,1,3,8,3,1,0.8322368421052632,1.2222222222222223,1
1,0,5.625,5,0,5,3,31,8,0,0,1,3,11,24,9,1,6,11,0,0,0.6976958525345622,1.875,0
1,1,7.0,7,0,7,2,30,5,3,0,0,2,5,27,10,0,4,5,1,0,0.48541666666666666,1.5555555555555556,0
1,1,2.0,2,0,2,7,32,10,2,0,0,4,6,27,5,0,2,6,1,0,0.7697368421052632,0.7777777777777778,1
0,1,5.0,5,0,7,3,40,15,5,2,0,3,6,27,15,1,4,6,0,2,1.0186046511627906,2.111111111111111,0
1,0,3.0,3,0,3,7,40,15,1,0,1,4,12,27,15,0,3,12,1,0,0.9097826086956522,2.0,1
0,1,6.0,6,0,6,7,37,14,2,0,0,4,11,27,10,1,6,11,0,0,0.8714568226763348,1.7777777777777777,1
1,0,7.56,7,0,7,6,35,10,2,0,1,6,8,25,14,0,4,8,1,0,0.8188153310104529,2.1599999999999997,0
1,1,4.0,4,0,5,4,30,7,0,1,2,2,7,27,10,2,3,7,0,1,0.8428571428571429,1.4444444444444444,0
1,1,3.0,3,0,4,5,36,10,2,0,2,3,9,27,7,2,2,9,2,2,0.8333333333333333,1.0,1
0,0,8.0,8,0,9,0,35,8,1,0,0,0,8,27,15,1,4,8,0,1,0.48571428571428565,2.111111111111111,0
0,0,0.0,0,1,0,9,41,15,2,1,1,4,10,27,8,0,0,10,0,1,0.9496288441145282,0.8888888888888888,1
2,3,5.0,5,0,5,7,33,11,0,0,0,2,16,27,8,2,4,16,1,0,0.7117117117117118,1.3333333333333333,1
3,2,5.625,5,0,7,5,34,8,2,0,2,4,4,24,11,0,2,4,2,2,0.803921568627451,1.625,0
0,0,15.0,15,0,17,2,31,5,0,0,0,0,7,27,14,4,6,7,1,2,0.34879032258064513,2.2222222222222223,0
0,0,2.0,2,0,2,17,41,14,2,0,4,6,10,27,5,0,0,10,2,1,1.1204268292682928,0.5555555555555556,1
2,0,15.0,15,0,18,2,33,9,0,0,0,2,7,27,19,4,10,7,2,3,0.587012987012987,3.2222222222222223,0
0,2,2.0,2,0,2,18,44,19,1,0,4,10,4,27,9,0,2,4,4,1,1.2643097643097643,1.2222222222222223,1
0,2,0.0,0,0,0,3,32,9,3,0,0,4,13,27,4,0,2,13,0,1,0.7361111111111112,0.6666666666666666,1
2,0,3.375,3,0,3,0,31,4,0,0,0,2,10,24,9,0,4,10,1,1,0.31085043988269795,1.625,0
1,0,7.0,7,0,7,3,33,7,1,0,0,2,9,27,9,2,6,9,2,2,0.5202020202020202,1.6666666666666667,0
0,1,3.0,3,0,3,7,31,9,0,0,2,6,8,27,7,0,2,8,1,0,0.9049235993208828,1.0,1
0,0,0.0,0,0,2,7,34,11,2,0,0,6,5,27,6,0,2,5,1,3,0.7969870875179339,0.8888888888888888,1
0,0,5.625,5,0,7,2,35,6,0,0,0,2,5,24,11,0,6,5,1,2,0.38764478764478766,2.125,0
1,3,6.0,6,0,6,11,36,13,3,1,1,7,6,27,10,0,5,6,0,1,1.0484496124031009,1.6666666666666667,1
3,1,10.125,9,0,11,6,34,10,1,0,0,5,4,24,13,1,7,4,2,4,0.7137733142037304,2.5,0
1,1,6.0,6,0,6,4,34,7,0,0,0,8,11,27,10,2,6,11,0,0,0.5779753761969904,1.7777777777777777,0
1,1,4.0,4,0,4,6,33,10,2,0,2,6,11,27,7,0,8,11,2,3,0.9557109557109557,1.6666666666666667,1
1,0,4.0,4,0,8,5,37,13,1,0,1,4,7,27,12,2,4,7,1,1,0.8740936058009229,1.7777777777777777,0
0,1,5.0,5,0,5,8,37,12,3,0,2,4,5,27,13,1,4,5,2,0,0.9629164047768699,1.8888888888888888,1
0,1,8.181818181818182,10,0,10,6,37,9,1,0,0,6,7,33,11,1,6,7,2,1,0.5963572267920094,1.5454545454545454,0
1,0,2.4545454545454546,3,0,6,10,42,11,1,0,1,6,8,33,9,0,6,8,1,4,0.7244897959183674,1.3636363636363635,1
1,2,0.0,0,0,2,6,33,12,0,1,0,3,5,27,3,0,4,5,1,0,0.8296478296478297,0.7777777777777778,1
2,1,5.625,5,0,6,2,28,3,0,0,0,4,7,24,12,0,3,7,2,1,0.3130252100840336,1.875,0
0,0,2.0,2,1,2,1,34,11,1,0,1,0,3,27,9,0,0,3,3,0,0.7647058823529411,1.0,0
0,0,1.0,1,0,1,2,32,9,0,1,0,0,5,27,11,1,0,5,0,0,0.646780303030303,1.2222222222222223,1
0,0,2.7,3,0,3,4,29,5,3,1,0,8,11,30,8,1,6,11,0,0,0.7038019451812556,1.4,1
0,0,2.793103448275862,3,0,4,3,38,8,0,0,1,6,8,29,5,0,8,8,0,1,0.6076555023923444,1.3448275862068966,0
0,0,6.0,6,0,8,1,27,1,0,0,0,2,6,27,12,1,4,6,0,1,0.13703703703703704,1.7777777777777777,0
0,0,1.0,1,0,1,8,36,12,3,0,1,4,8,27,1,0,2,8,0,1,0.9186046511627908,0.3333333333333333,1
0,0,2.0,2,0,3,2,33,10,2,0,1,5,7,27,7,0,3,7,1,1,0.8492822966507176,1.1111111111111112,0
0,0,2.0,2,0,2,3,32,7,2,0,0,3,4,27,10,1,5,4,3,1,0.5669642857142857,1.6666666666666667,1
0,0,2.0,2,0,2,7,34,11,3,0,2,2,7,27,10,1,3,7,1,1,0.9666136724960255,1.4444444444444444,1
0,0,7.875,7,0,7,2,36,10,0,0,1,3,5,24,11,2,2,5,1,0,0.6944444444444444,1.625,0
0,1,3.0,3,0,3,1,34,7,1,0,1,2,8,27,10,1,4,8,1,1,0.5735294117647058,1.5555555555555556,0
1,0,1.0,1,0,1,3,34,10,4,0,1,4,9,27,7,1,2,9,0,0,0.868421052631579,1.0,1
0,5,4.0,4,0,4,10,38,17,2,1,1,7,3,27,10,1,2,3,1,0,1.1524122807017543,1.3333333333333333,1
5,0,9.0,8,0,10,4,36,10,1,0,1,2,6,24,17,1,7,6,2,1,0.7046783625730995,3.0,0
0,0,3.0,3,0,3,6,31,6,0,0,2,1,6,27,11,0,2,6,3,0,0.6518026565464896,1.4444444444444444,1
0,0,6.75,6,0,6,3,33,11,3,0,0,2,5,24,6,2,1,5,0,1,0.7853535353535354,0.875,0
0,4,12.0,12,0,13,4,35,8,1,0,2,4,10,27,16,2,4,10,1,1,0.7535714285714286,2.2222222222222223,0
4,0,4.0,4,0,4,13,40,16,3,0,2,4,13,27,8,2,4,13,0,1,1.0815217391304348,1.3333333333333333,1
0,2,0.9,1,0,2,1,34,7,0,0,0,4,5,30,9,0,5,5,1,1,0.4953560371517028,1.4,0
2,0,0.9,1,0,1,2,34,9,0,0,0,5,6,30,7,0,4,6,2,1,0.6236802413273002,1.1,1
0,0,1.0,1,0,1,9,36,13,5,0,1,2,9,27,8,1,2,9,2,0,0.9780701754385965,1.1111111111111112,1
0,0,6.75,6,0,9,1,33,8,0,0,1,2,2,24,13,1,2,2,1,3,0.6190476190476191,1.875,0
2,3,7.0,7,0,9,5,33,9,0,0,0,4,10,27,13,0,8,10,0,1,0.6148325358851674,2.3333333333333335,0
3,2,5.0,5,0,5,9,33,13,3,0,0,8,9,27,9,0,4,9,1,1,0.9848484848484849,1.4444444444444444,1
0,0,8.0,8,0,8,5,39,12,1,0,3,4,6,27,14,0,5,6,0,2,0.9641025641025641,2.111111111111111,0
0,0,5.0,5,0,5,8,38,14,5,0,0,5,11,27,12,3,4,11,0,0,0.9545454545454546,1.7777777777777777,1
0,1,3.0,3,0,3,8,35,14,3,0,2,5,7,27,9,1,4,7,1,0,1.1321428571428571,1.4444444444444444,1
1,0,9.0,8,0,8,3,34,9,3,0,1,4,3,24,14,2,5,3,1,0,0.78328173374613,2.375,0
0,0,7.0,7,0,8,1,34,7,5,0,0,1,7,27,15,1,4,7,1,2,0.6029411764705883,2.111111111111111,0
0,0,1.0,1,0,1,8,41,15,3,0,1,4,8,27,7,0,1,8,0,0,0.9344173441734418,0.8888888888888888,1
1,2,2.0,2,0,2,3,27,6,0,0,1,3,11,27,6,1,3,11,0,1,0.6559139784946236,1.0,1
2,1,2.25,2,0,3,2,33,6,2,0,1,3,5,24,6,1,3,5,0,2,0.6036036036036037,1.125,0
0,1,2.0,2,0,2,8,34,13,3,0,1,2,6,27,7,1,4,6,0,0,0.9912559618441972,1.2222222222222223,1
1,0,9.0,8,0,8,2,33,7,1,0,1,4,4,24,13,1,2,4,0,0,0.6306306306306306,1.875,0
0,1,5.0,5,0,5,7,33,13,3,0,0,2,10,27,10,2,2,10,0,0,0.9015151515151516,1.3333333333333333,1
1,0,6.75,6,0,7,5,36,10,1,0,2,2,3,24,13,0,2,3,0,2,0.8055555555555556,1.875,0
0,0,13.0,13,0,13,3,34,9,1,0,1,1,5,27,16,2,6,5,1,0,0.6680672268907563,2.4444444444444446,0
0,0,3.0,3,0,3,13,41,16,2,1,2,6,2,27,9,1,1,2,1,0,1.092479674796748,1.1111111111111112,1
0,0,2.0,2,0,2,10,35,14,2,2,2,4,6,27,5,1,1,6,1,0,1.2062717770034843,0.6666666666666666,1
0,0,10.125,9,0,10,2,31,5,0,0,1,1,6,24,14,2,4,6,2,1,0.4701857282502444,2.25,0
0,0,4.090909090909091,5,0,6,5,39,9,2,0,1,2,8,33,8,1,10,8,1,2,0.6446886446886446,1.6363636363636365,0
0,0,4.090909090909091,5,0,5,6,36,8,2,0,1,10,8,33,9,1,2,8,1,0,0.7440898345153664,1.0,1
0,2,2.0,2,0,2,3,29,7,2,0,1,4,9,27,6,1,1,9,0,0,0.7667342799188641,0.7777777777777778,1
2,0,3.375,3,0,3,2,33,6,0,0,1,1,5,24,7,1,4,5,1,0,0.47860962566844917,1.375,0
0,2,11.0,11,0,16,10,40,14,2,0,2,9,7,27,21,3,3,7,0,4,1.03,2.6666666666666665,0
2,0,10.0,10,0,10,16,48,21,3,0,3,3,7,27,14,2,9,7,1,1,1.1580882352941178,2.5555555555555554,1
2,0,11.0,11,0,11,6,32,7,0,1,0,6,5,27,12,1,4,5,1,0,0.6622023809523809,1.7777777777777777,0
0,2,6.0,6,0,6,11,38,12,2,0,1,4,3,27,7,0,6,3,1,0,0.8283208020050126,1.4444444444444444,1
0,0,1.0,1,0,2,14,40,18,3,0,2,7,8,27,8,0,2,8,0,2,1.1852040816326532,1.1111111111111112,1
0,0,15.75,14,0,14,2,36,8,3,0,0,2,11,24,18,2,7,11,0,0,0.561965811965812,3.125,0
0,0,2.0,2,0,2,8,37,13,1,0,0,3,7,27,6,1,1,7,0,0,0.7969830295411691,0.7777777777777778,1
0,0,6.75,6,0,8,2,31,6,0,0,1,1,7,24,13,0,3,7,1,3,0.5090725806451613,2.0,0
0,0,1.0,1,0,1,5,28,5,1,0,0,9,9,27,4,1,2,9,0,1,0.5926640926640927,0.6666666666666666,1
0,0,0.0,0,0,5,1,31,4,1,0,1,2,6,24,5,0,9,6,2,5,0.4866359447004608,1.75,0
3,0,10.0,10,0,11,4,36,8,0,0,3,2,5,27,15,2,4,5,0,1,0.7353801169590644,2.111111111111111,0
0,3,4.0,4,0,4,11,42,15,3,2,2,4,10,27,8,3,2,10,0,0,1.0833333333333333,1.1111111111111112,1
0,0,0.0,0,0,0,6,33,10,4,0,1,1,6,27,6,0,2,6,1,0,0.858008658008658,0.8888888888888888,1
0,0,6.75,6,0,6,0,30,6,1,0,0,2,3,24,10,1,1,3,0,1,0.48333333333333334,1.375,0
1,2,5.0,5,0,5,3,36,11,3,0,0,1,8,27,10,1,1,8,0,1,0.7132132132132132,1.2222222222222223,0
2,1,3.0,3,0,3,5,34,10,1,0,1,1,6,27,11,0,1,6,0,0,0.7360890302066773,1.3333333333333333,1
0,1,2.0,2,0,2,3,31,9,2,0,1,0,6,27,5,2,1,6,1,0,0.7419354838709677,0.6666666666666666,1
1,0,3.375,3,0,3,2,30,5,0,0,2,1,7,24,9,1,0,7,0,0,0.5854166666666667,1.125,0
1,0,2.0,2,0,2,4,27,6,1,0,1,7,11,27,7,0,4,11,0,0,0.7527233115468409,1.2222222222222223,1
0,1,3.375,3,0,4,2,31,7,1,0,0,4,5,24,6,1,7,5,1,1,0.5913978494623655,1.625,0
2,0,2.0,2,0,2,0,28,2,0,0,0,1,8,27,7,0,4,8,0,0,0.1748768472906404,1.2222222222222223,0
0,2,0.0,0,1,0,2,32,7,0,0,0,4,7,27,2,0,1,7,1,0,0.5243055555555556,0.3333333333333333,1
1,0,1.0,1,0,1,2,28,7,0,0,1,1,8,27,5,0,3,8,0,0,0.6330049261083743,0.8888888888888888,1
0,1,2.25,2,0,2,1,30,5,1,1,0,3,4,24,7,1,1,4,2,0,0.509090909090909,1.0,0
0,1,3.0,3,0,3,4,29,7,2,0,1,2,6,27,13,0,3,6,1,1,0.7667342799188641,1.7777777777777777,1
1,0,3.375,3,0,4,3,38,13,2,1,0,3,6,24,7,1,2,6,2,1,0.8376123234916559,1.125,0
0,0,3.0,3,0,3,4,32,11,4,0,0,3,10,27,9,0,3,10,1,0,0.86875,1.3333333333333333,1
0,0,4.5,4,0,4,3,34,9,1,0,0,3,3,24,11,0,3,3,1,0,0.6530920060331825,1.75,0
0,0,4.0,4,0,4,0,29,3,0,0,0,3,6,27,10,0,4,6,0,0,0.29094827586206895,1.5555555555555556,0
0,0,0.0,0,0,0,4,36,10,3,0,0,4,6,27,3,0,3,6,1,1,0.711111111111111,0.6666666666666666,1
1,0,3.0,3,0,3,1,35,9,0,0,0,1,8,27,6,1,1,8,0,1,0.5729323308270676,0.7777777777777778,0
0,1,1.0,1,0,1,3,32,6,3,0,1,1,5,27,9,0,1,5,1,0,0.5808823529411764,1.1111111111111112,1
0,2,1.6363636363636365,2,0,2,3,38,9,2,0,0,5,13,33,7,1,4,13,0,3,0.6076555023923444,1.0,1
2,0,2.53125,3,0,3,2,40,7,0,0,1,4,7,32,9,0,5,7,0,0,0.5166666666666666,1.3125,0
0,2,7.0,7,0,7,9,31,7,1,0,1,9,11,27,11,3,4,11,0,0,0.7548387096774194,1.6666666666666667,1
2,0,7.875,7,0,9,7,36,11,1,0,3,4,9,24,7,1,9,9,0,2,0.9735772357723578,2.0,0
1,0,7.0,7,0,8,3,31,8,1,0,1,1,5,27,12,4,4,5,1,1,0.6901270772238515,1.7777777777777777,0
0,1,3.0,3,0,3,8,36,12,0,0,4,4,7,27,8,1,1,7,2,0,1.08130081300813,1.0,1
2,1,1.0,1,0,1,4,30,9,2,0,1,0,6,27,8,0,3,6,2,1,0.8303030303030303,1.2222222222222223,1
1,2,4.319999999999999,4,0,4,1,31,8,0,0,0,3,1,25,9,1,0,1,2,0,0.6191756272401434,1.0799999999999998,0
1,1,2.0,2,0,4,2,34,8,0,0,0,1,7,27,9,1,1,7,0,1,0.5130718954248366,1.1111111111111112,0
1,1,1.0,1,0,2,4,37,9,3,1,1,1,11,27,8,0,1,11,0,1,0.7226173541963016,1.0,1
1,0,3.0,3,0,3,4,35,10,0,0,1,6,5,27,7,0,5,5,1,0,0.7616724738675958,1.3333333333333333,1
0,1,4.319999999999999,4,0,4,3,28,7,0,0,0,5,8,25,10,1,6,8,0,2,0.6214285714285714,1.92,0
0,1,6.0,6,0,6,3,30,7,2,0,1,4,8,27,9,2,8,8,1,0,0.7428571428571429,1.8888888888888888,0
1,0,3.0,3,0,3,6,33,9,2,0,2,8,7,27,7,1,4,7,1,0,0.9437229437229437,1.2222222222222223,1
