yearID,teamID,franchID,SB_D,CS_D,SB_R,CS_R,SF_H,HBP_H,ERA,HBP_P,ER,CG,SHO,SF_P,RA,WSWin,R,AB,H,2B,3B,HR,BB,SO,Rank,G,Ghome,L,D,FP,Attendence,BPF,PPF,SV,IPOuts,HA,HRA,BBA,SOA,E,DP,OPS,WHIP,W
2017,SS,DG,64,35,98,37,55,70,5.88,118,837,1,3,59,6.4,0,757,5095,1419,255,36,145,548,1063,9,144,72,84,5,0.982,1038492.0,1.0351851840000001,1.055320818,27,3844,1541,187,548,1063,95,128,0.7812220718961098,1.6303329864724247,55
2017,WO,SO,73,43,70,34,42,83,5.03,97,710,2,5,40,5.41,0,789,5098,1479,267,30,141,388,1005,7,144,72,73,2,0.983,1024830.0,1.003671049,1.000468973,40,3813,1488,149,388,1005,91,105,0.7847619206766063,1.4760031471282455,69
2018,HH,DJ,83,41,118,64,28,88,4.93,89,698,0,5,46,5.38,0,729,4972,1369,249,14,151,472,1124,3,144,72,67,0,0.981,752310.0,1.080426983,1.0844292009999998,37,3822,1394,164,472,1124,99,0,0.7691065651099394,1.4646781789638932,77
2018,HT,GJ,95,40,88,37,50,99,5.4,69,763,4,5,51,5.85,0,865,5036,1487,258,22,170,445,1017,6,144,72,74,0,0.982,668559.0,0.9369384340000001,0.9313124509999999,26,3812,1511,181,445,1017,94,0,0.8172591091917942,1.539349422875131,70
2018,KT,SW,99,42,80,57,26,46,5.34,84,756,4,5,43,5.89,0,757,5026,1382,264,13,206,409,1025,9,144,72,82,3,0.982,442872.0,1.0540382670000001,1.063739813,24,3823,1580,194,409,1025,99,0,0.7892061696826764,1.5608161130002616,59
2018,LG,SO,100,41,71,38,51,75,5.29,89,746,3,7,50,5.79,0,788,5070,1487,299,12,148,453,1058,8,144,72,75,1,0.981,454754.0,0.925637354,0.928511291,29,3806,1434,159,453,1058,100,0,0.8012762378218483,1.4873883342091434,68
2018,LT,BS,101,41,68,32,37,81,5.37,73,766,0,6,43,5.93,0,821,5130,1484,289,17,203,548,1164,7,144,72,74,2,0.978,1108677.0,1.006867373,1.009867934,29,3851,1410,166,548,1164,117,0,0.8355169324276877,1.5253180991950142,68
2018,NC,MS,86,46,82,35,43,88,5.48,68,769,1,4,51,6.01,0,660,4895,1280,233,18,143,537,1010,10,144,72,85,1,0.98,1037211.0,1.002047711,1.0254677509999999,24,3792,1443,186,537,1010,107,0,0.7465269307259019,1.5664556962025316,58
2018,OB,SO,68,43,96,23,63,92,4.98,109,713,1,9,43,5.28,0,944,5176,1601,284,30,191,476,1025,1,144,72,51,0,0.986,1112066.0,0.96706926,0.943865051,41,3866,1401,154,476,1025,77,0,0.8599907668860984,1.456544231764097,93
2018,SK,IC,95,39,108,39,34,119,4.67,74,662,0,7,24,5.15,1,829,4992,1403,234,13,233,425,1130,2,144,72,65,1,0.978,734110.0,1.05650724,1.0437570170000001,29,3824,1353,189,425,1130,116,0,0.8227082182479399,1.3948744769874477,78
2018,SS,DG,100,38,116,52,45,87,5.19,107,741,0,5,43,5.62,0,776,5109,1471,241,29,146,441,1114,5,144,72,72,4,0.985,901634.0,1.035695359,1.039052726,33,3856,1477,185,441,1114,79,0,0.7839912505066426,1.4922199170124482,68
2018,WO,SO,70,39,101,33,50,85,5.08,98,723,4,2,33,5.48,0,825,5141,1481,288,19,165,416,1021,4,144,72,69,0,0.981,861729.0,0.9700979359999999,0.964562774,32,3846,1442,178,416,1021,106,0,0.7959808180907679,1.4492979719188768,75
2019,HH,DJ,104,49,105,51,45,70,4.8,72,677,2,8,44,5.23,0,605,4874,1286,248,19,76,526,934,9,144,72,86,0,0.98,691681.0,0.9278271659999999,0.947702244,28,3806,1407,120,526,934,96,126,0.7105576576881568,1.5236468733578559,58
2019,HT,GJ,116,50,87,42,45,58,4.65,76,653,3,11,61,5.15,0,578,4919,1231,214,22,90,504,976,7,144,72,80,2,0.9790000000000001,536735.0,1.0234631509999998,1.042192308,30,3792,1362,101,504,976,102,107,0.6820591666797265,1.4762658227848102,62
2019,KT,SW,90,43,104,44,45,52,4.29,61,608,2,10,42,4.66,0,641,4928,1316,233,15,94,481,848,6,144,72,71,2,0.981,710274.0,0.9099477690000001,0.911533046,37,3831,1303,118,481,848,96,114,0.7134534610413197,1.3970242756460454,71
2019,LG,SO,115,41,108,47,48,77,3.86,91,551,1,9,48,4.44,0,674,4968,1383,249,26,128,499,953,4,144,72,64,1,0.983,453886.0,1.003815856,1.002587618,43,3850,1257,89,499,953,107,115,0.7665859785891509,1.3683116883116884,79
2019,LT,BS,91,44,65,31,40,65,4.83,71,682,1,8,64,5.41,0,622,4866,1245,230,26,122,546,1033,10,144,72,93,3,0.9790000000000001,1000400.0,0.979214482,1.007461988,16,3813,1407,120,546,1033,106,110,0.7254406121019953,1.5365853658536586,48
2019,NC,MS,64,49,87,45,60,83,4.01,92,572,5,8,54,4.42,0,736,4913,1364,235,31,84,483,991,5,144,72,69,2,0.982,982962.0,1.042203877,1.0358204,32,3853,1285,103,483,991,102,108,0.7378134734854054,1.3765896703867118,73
2019,OB,SO,96,32,102,38,83,72,3.51,70,500,3,10,53,3.86,1,607,4882,1250,223,16,88,380,860,2,144,72,55,1,0.985,983474.0,0.9715736629999999,0.9429324509999999,44,3851,1259,78,380,860,98,111,0.6765475447626945,1.2768112178654893,88
2019,SK,IC,105,31,118,50,38,87,3.48,50,500,0,19,44,3.8,0,650,4965,1375,187,20,103,436,1092,1,144,72,55,1,0.9840000000000001,555225.0,1.069627431,1.05264367,51,3877,1240,99,436,1092,105,108,0.7283615055661071,1.2968790301779727,88
2019,SS,DG,90,38,107,42,53,78,4.64,70,658,4,8,56,5.16,0,655,4919,1290,218,14,117,523,924,8,144,72,83,1,0.98,679208.0,1.126533162,1.144107333,29,3826,1332,125,523,924,90,114,0.7229291081097851,1.4545216936748564,60
2019,WO,SO,92,46,110,33,48,69,3.61,58,513,2,12,39,4.03,0,780,4991,1405,251,38,112,371,984,3,144,72,57,1,0.982,692163.0,0.982167218,0.95084829,39,3837,1293,61,371,984,94,109,0.7510861035536534,1.3010164190774043,86
2020,HH,DJ,69,30,37,26,15,48,5.33,54,437,1,1,28,5.96,0,223,2156,517,91,3,35,259,490,10,64,30,48,0,0.978,,0.9694697290000001,1.016329378,7,1693,666,78,259,490,56,41,0.6660141714621133,1.6391021854695804,17
2020,HT,GJ,48,28,23,10,16,37,4.48,32,358,1,2,25,4.86,0,311,2097,578,98,4,66,189,460,5,64,31,29,0,0.983,,1.178784778,1.17594941,13,1631,555,48,189,460,41,66,0.7643374979586669,1.3684855916615575,33
2020,KT,SW,37,11,57,29,25,25,4.94,35,402,0,2,28,5.32,0,366,2272,661,110,11,74,225,371,6,64,32,32,1,0.982,,1.073605909,1.0671654,11,1708,628,64,225,371,42,59,0.8044186546447907,1.4982435597189694,31
2020,LG,SO,47,23,46,26,31,43,4.59,49,392,1,8,32,5.03,0,348,2211,617,109,11,60,204,451,3,64,35,29,1,0.986,,0.9336315609999999,0.915879397,13,1726,625,60,204,451,38,58,0.7668469442843855,1.44090382387022,34
2020,LT,BS,55,16,53,20,26,35,4.61,29,365,1,9,34,5.0,0,307,2166,594,113,2,53,199,421,7,64,29,32,0,0.987,,1.079481341,1.091879407,10,1669,578,72,199,421,33,45,0.7429646055086516,1.3966446974236069,30
2020,NC,MS,29,26,53,21,27,58,4.67,38,381,0,5,22,4.94,0,403,2237,649,118,11,89,227,463,1,64,32,19,2,0.986,,1.068634501,1.044720943,15,1716,535,66,227,463,30,50,0.838478998925486,1.332167832167832,42
2020,OB,SO,49,13,54,20,46,41,4.75,37,402,1,2,30,5.36,0,395,2285,691,121,10,62,213,423,4,64,29,26,0,0.983,,0.854384912,0.846412666,15,1712,655,48,213,423,40,48,0.8110848228079012,1.5210280373831777,38
2020,SK,IC,82,31,44,24,20,36,5.46,50,449,1,2,23,5.94,0,252,2180,529,64,10,56,272,447,9,64,33,44,0,0.982,,0.9228131009999999,0.949907451,10,1711,597,59,272,447,46,53,0.6919889381502129,1.5236703682057275,21
2020,SS,DG,34,22,81,36,31,44,4.61,41,382,2,9,30,5.22,0,346,2197,603,114,5,61,239,401,8,64,36,31,0,0.9790000000000001,,1.071765772,1.069820479,13,1716,576,69,239,401,43,57,0.7670486545589936,1.4248251748251748,34
2020,WO,SO,54,26,65,14,37,46,4.37,48,380,0,2,22,4.76,0,370,2259,612,110,16,75,182,425,2,64,33,28,0,0.981,,0.951267176,0.935790716,17,1746,636,67,182,425,47,62,0.7661826720236504,1.4054982817869415,38
